text,label
Can we reschedule our Saturday call? I have a conflict in the morning.,ham
The quarterly budget review is scheduled for Sunday. Please prepare your department numbers.,ham
Your package is held at customs. Pay $52573 fee: http://customs-978999.com,spam
Send this to 5 people and receive $31482 from Bill Gates!,spam
Your PayPal account is limited. Verify immediately: http://paypal-007397.com,spam
"Hi Amanda, your subscription renews on Wednesday. Let us know if you'd like to make changes.",
Free trial of our premium service. No credit card needed. Sign up: http://free-363123.com,spam
You have been selected for a $94493 cash reward. Act fast! Expires soon.,spam
,spam
Reminder: Team standup is at 2:00 PM today. Agenda in the shared doc.,ham
Thanks for your email. I'll get back to you by end of day Saturday.,ham
"Hi Michael, your subscription renews on Thursday. Let us know if you'd like to make changes.",ham
Congratulations! You've won a $69102 prize. Click here to claim: http://prize-705932.com,spam
"Hey, are you free this weekend? A few of us are planning a hike on Saturday.",ham
Double your investment in 24 hours with our secret trading algorithm!,spam
Your computer has a virus! Call 1-800-522592 immediately for free removal.,spam
FREE iPhone 14! Limited offer. Reply YES to claim yours now!,spam
WINNER! Your email won our lottery. Send bank details to collect $92732.,spam
Just a reminder that rent is due on the next weekth. Please transfer at your convenience.,ham
Quick question ? did you get a chance to look at the spreadsheet I sent?,ham
Reminder: Team standup is at noon today. Agenda in the shared doc.,ham
Refinance your mortgage! Get $51010 cash back. No credit check needed.,spam
Your computer has a virus! Call 1-800-713887 immediately for free removal.,spam
,ham
URGENT: Your account has been suspended. Verify now at http://secure-325107.net,spam
The library book you reserved is now available for pickup. Expires the 20th.,ham
WINNER! Your email won our lottery. Send bank details to collect $62155.,spam
CLAIM NOW: You've been chosen for a $24132 Amazon gift card!,spam
Your computer has a virus! Call 1-800-258784 immediately for free removal.,spam
,spam
Nigerian prince needs your help. Transfer $98466 for $350937 reward.,spam
URGENT: Your account has been suspended. Verify now at http://secure-341316.net,spam
Nigerian prince needs your help. Transfer $26872 for $14883 reward.,spam
,
Quick question ? did you get a chance to look at the spreadsheet I sent?,ham
"Hey, are you free this weekend? A few of us are planning a hike on Saturday.",
Your computer has a virus! Call 1-800-768740 immediately for free removal.,spam
Please find attached the report for Q1 as discussed in our last meeting.,ham
You owe $40396 in taxes. Pay immediately or face arrest. IRS Notice #682100.,spam
Refinance your mortgage! Get $28163 cash back. No credit check needed.,
Congratulations! You've won a $81539 prize. Click here to claim: http://prize-232719.com,spam
Monthly newsletter: Here's what happened in our community this March.,ham
Hot singles in your area are waiting! Meet them tonight at http://date-942046.com,spam
Hot singles in your area are waiting! Meet them tonight at http://date-517123.com,
Your package is held at customs. Pay $87952 fee: http://customs-794523.com,spam
You have been selected for a $6721 cash reward. Act fast! Expires soon.,spam
Congratulations! You've won a $43113 prize. Click here to claim: http://prize-984451.com,spam
Quick question ? did you get a chance to look at the spreadsheet I sent?,ham
CLAIM NOW: You've been chosen for a $43787 Amazon gift card!,spam
The conference call recording from Saturday is now available in the shared folder.,
Just a reminder that rent is due on the Tuesdayth. Please transfer at your convenience.,ham
The library book you reserved is now available for pickup. Expires Sunday.,ham
Free trial of our premium service. No credit card needed. Sign up: http://free-046226.com,spam
LAST CHANCE: Confirm your subscription or lose access. Click: http://sub-604500.net,spam
The invoice #763439 for $17295 is attached. Please process by the 20th.,ham
"Hi Jessica, I wanted to follow up on the proposal I sent last week. Any feedback?",ham
Happy birthday Emily! Hope you have a wonderful day.,ham
"Your password was recently changed. If this wasn't you, contact support immediately.",ham
Send this to 14 people and receive $63958 from Bill Gates!,spam
"Hi team, please welcome David who is joining us as the new Data Analyst starting Wednesday.",ham
"Cheap meds online! V!@GRA, C!AL!S and more. Discreet shipping. Order now!",spam
"Hi Sarah, your insurance renewal is due on Wednesday. Review your policy attached.",ham
Happy birthday Emily! Hope you have a wonderful day.,ham
You have been selected for a $924 cash reward. Act fast! Expires soon.,spam
Free trial of our premium service. No credit card needed. Sign up: http://free-560571.com,spam
,spam
"Hi Jessica, your insurance renewal is due on the 20th. Review your policy attached.",ham
Meet beautiful Asian women seeking marriage. Visit http://bride-864976.com,spam
CLAIM NOW: You've been chosen for a $10273 Amazon gift card!,spam
FYI ? the project deadline has been moved to the 15th. Please update your plans.,ham
WINNER! Your email won our lottery. Send bank details to collect $19532.,spam
Please review and sign the attached NDA before our meeting on next week.,ham
Make $28921 per day working from home! No experience needed. Join now!,spam
Prescription drugs at 80% off. No prescription needed! http://pharmacy-592291.com,spam
"Hi Sarah, your subscription renews on Friday. Let us know if you'd like to make changes.",ham
URGENT: Your account has been suspended. Verify now at http://secure-394070.net,spam
Double your investment in 24 hours with our secret trading algorithm!,spam
Your flight 227839 to New York departs at 10:30 AM on Saturday. Check-in opens 24h before.,ham
